items: 10 dist: 4.8444 max overlap:  5 
FINORALTNEPSCDEW	6	Estonia 	Finland 	France  	Ireland 	Spain   	Sweden  
DNGLHUAOSTRPAIYC	6	Austria 	Croatia 	Cyprus  	Hungary 	Poland  	Portugal
BEMYCULAEGITERAV	6	Belgium 	Bulgaria	Greece  	Italy   	Latvia  	Malta   
SWEDLVNEOMAI_RKA	5	Denmark 	Romania 	Slovakia	Slovenia	Sweden  
NEEHLRTUAIASINDP	5	Austria 	Ireland 	Lithuania	Netherlands	Spain   
PLTAOAYIMRNDFCEG	7	Croatia 	France  	Germany 	Italy   	Malta   	Poland  	Romania 
SANFPLIKOVAN_TED	6	Finland 	Latvia  	Poland  	Slovakia	Slovenia	Spain   
MANYROLIGETAECES	6	Estonia 	Germany 	Greece  	Italy   	Malta   	Romania 
HNGLSUAOVTRPAIYC	6	Austria 	Croatia 	Cyprus  	Hungary 	Latvia  	Portugal
XUNDBELAMORGPUIA	5	Belgium 	Bulgaria	Ireland 	Luxembourg	Poland  
