THIMOAPLKEIUSYOD	5	Dili	Seoul	Taipei	Thimpu	Tokyo
CHDKONAAILMBSOAO	5	Colombo 	Dhaka	Hanoi	Islamabad 	Manila
SEULIPOBMIAYHTOK	5	Kabul	Seoul	Taipei	Thimpu	Tokyo
CNHDOAIAILMBSOAO	5	Colombo 	Dili	Hanoi	Islamabad 	Manila
JAKAMHTRDAOENULS	5	Dhaka	Jakarta	Kathmandu	Male	Seoul
KTBLOAHUKNPIGYOM	5	Bangkok	Hanoi	Kabul	Thimpu	Tokyo
MANGTILEPNJABEIV	5	Beijing	Male	Manila	Taipei	Vientiane
TONYIKAPLAYHWIDO	5	Dhaka	Dili	Hanoi	Naypyidaw	Tokyo
THNIOAIENMPLPHAU	5	Male	Manila	Phnom Penh	Taipei	Thimpu
SEOGWINUDJLABEIH	5	Beijing	Dili	Hanoi	New Delhi	Seoul
EPUOCLMBOOAIYKTH	5	Colombo 	Kabul	Male	Thimpu	Tokyo
TBIPDAEJHKNIAGOK	5	Bangkok	Beijing	Dhaka	Hanoi	Taipei
JKARAMHTNIPADULI	5	Dili	Jakarta	Kathmandu	Manila	Thimpu
VIENOWTPDNAIELHM	5	Hanoi	Male	New Delhi	Taipei	Vientiane
HKBJDAAURMLNTAIS	5	Dhaka	Islamabad 	Jakarta	Kabul	Manila
TAIMNHLPEIEUWDOS	5	Dili	New Delhi	Seoul	Taipei	Thimpu
KAUEADBLTHNARAMA	5	Dhaka	Kabul	Kathmandu	Male	Ulaanbaatar
LAHPTINAHPMOUNEI	5	Hanoi	Manila	Phnom Penh	Taipei	Thimpu
MAOUAELJBSIIADNG	5	Beijing	Dili	Islamabad 	Male	Seoul
MAAIHDNLATUBRKAA	5	Dhaka	Kabul	Kathmandu	Manila	Ulaanbaatar
PHNEIAMOTPLIHNEV	5	Hanoi	Male	Phnom Penh	Taipei	Vientiane
MNIJAGIAKBELKOUS	5	Bangkok	Beijing	Kabul	Manila	Seoul
DNTRUHAAPMIKELAJ	5	Dhaka	Jakarta	Kathmandu	Male	Thimpu
DILSJIEUGNOB_KAK	5	Bangkok	Beijing	Dili	Kabul	Seoul
KATALHMBSIAPONDU	5	Hanoi	Islamabad 	Kathmandu	Manila	Thimpu
MAIHNTLPENEI_WDV	5	Dili	Male	New Delhi	Taipei	Vientiane
_HBLSEAUINOKJIGK	5	Bangkok	Beijing	Hanoi	Kabul	Seoul
MATANILNPEEHWDIV	5	Male	Manila	New Delhi	Taipei	Vientiane
JBULKADPANHMRTAI	5	Dhaka	Jakarta	Kabul	Kathmandu	Thimpu
NISEMALDYAIAPYBW	5	Dili	Islamabad 	Male	Manila	Naypyidaw
MDUGHANKTAKOBOYI	5	Bangkok	Dhaka	Hanoi	Kathmandu	Tokyo
MAEJNLAKIBUAAATR	5	Jakarta	Kabul	Male	Manila	Ulaanbaatar
PHNOTAIMDILPHNEU	5	Dili	Hanoi	Phnom Penh	Taipei	Thimpu
ISEOMALUTABDRKAJ	5	Islamabad 	Jakarta	Kabul	Male	Seoul
VIENALDTKHIWMANE	5	Dhaka	Dili	Manila	New Delhi	Vientiane
TOK_MALYBUOE_OSC	5	Colombo 	Kabul	Male	Seoul	Tokyo
SIINDLAMHAATJBKR	5	Dhaka	Dili	Islamabad 	Jakarta	Manila
OBUCMALOKONEKGS_	5	Bangkok	Colombo 	Kabul	Male	Seoul
EOIENWDLAAHIKYPY	5	Dhaka	Dili	Hanoi	Naypyidaw	New Delhi
OBUEMALCKONOTGKY	5	Bangkok	Colombo 	Kabul	Male	Tokyo
MANOYHEIPILWYEDA	5	Dili	Hanoi	Manila	Naypyidaw	New Delhi
KABOOMUAALODISEC	5	Colombo 	Islamabad 	Kabul	Male	Seoul
MAYPKHNYTADIWILU	5	Dhaka	Dili	Kathmandu	Manila	Naypyidaw
KOUSKBELGAIPTNIJ	5	Bangkok	Beijing	Kabul	Seoul	Taipei
WENUDIAPTELMNHIV	5	Dili	Male	New Delhi	Thimpu	Vientiane
JAMONHKYDOTAIURA	5	Dhaka	Hanoi	Jakarta	Kathmandu	Tokyo
MANEYAWIPDLHYIE_	5	Dili	Male	Manila	Naypyidaw	New Delhi
HTOGBANKEIOYPIJK	5	Bangkok	Beijing	Hanoi	Taipei	Tokyo
GKOADNTKUHAYLBMO	5	Bangkok	Dhaka	Kabul	Kathmandu	Tokyo
PHNEIAVOTEIMNHPU	5	Hanoi	Phnom Penh	Taipei	Thimpu	Vientiane
