LASAASKNEREEOYWJ	5	Alaska	Arkansas	Kansas	New Jersey	New York
IONEZIWAHRAHESPM	5	Arizona	Hawaii	Iowa	Maine	New Hampshire
GGOLERINAOHASCUT	5	Georgia	Ohio	Oregon	South Carolina	Utah
OTASKNSWAHOUDITR	5	Idaho	Iowa	Kansas	North Dakota	South Dakota
MHOCAINNCTOETUCS	5	Connecticut	Maine	Minnesota	Ohio	Utah
ILLACANISOSNIWAK	5	Alaska	Illinois	Iowa	Kansas	Wisconsin
UTGDOAINNHWISACM	5	Hawaii	Indiana	Michigan	Utah	Washington
AMODRHAEYLINKOSD	5	Maine	Maryland	Ohio	Oklahoma	Rhode Island
IKAUODHTATROVENM	5	Idaho	Nevada	North Dakota	Utah	Vermont
GEORXMIGIHWACONE	5	Georgia	Iowa	Michigan	New Mexico	Ohio
COLWDAYOONRMGEIA	5	Colorado	Maine	Maryland	Oregon	Wyoming
RTAHUIWNSOIACSNM	5	Hawaii	Iowa	Missouri	Utah	Wisconsin
MONACITNHOAEIGSX	5	Michigan	Minnesota	Montana	Ohio	Texas
KEAHZWNTIOYUARKC	5	Arizona	Iowa	Kentucky	New York	Utah
LOEIORHGGCAOMIDN	5	Colorado	Georgia	Idaho	Michigan	Oregon
LLIUOIOSHNIZAWAR	5	Arizona	Hawaii	Illinois	Louisiana	Ohio
NEWYBROAKIALASDF	5	Alaska	Florida	Iowa	Nebraska	New York
UTAHSVWDIEIARGNI	5	Hawaii	Nevada	Utah	Virginia	West Virginia
ALSKGABAIRENOZOG	5	Alaska	Arizona	Georgia	Nebraska	Oregon
MCREIAHYWILDGANE	5	Delaware	Hawaii	Maine	Maryland	Michigan
ZONTMIAAVRNIIEGD	5	Arizona	Indiana	Montana	Vermont	Virginia
WOIFCALODNRYOIAM	5	California	Colorado	Florida	Iowa	Maryland
ALSANATKXERNVBMO	5	Alaska	Montana	Nebraska	Texas	Vermont
NORTDAHANIRCZOLO	5	Arizona	Colorado	Idaho	North Carolina	Ohio
OKADTRTHAEOUXSGN	5	North Dakota	Oregon	South Dakota	Texas	Utah
ISEFDILDNAROWAHE	5	Delaware	Florida	Hawaii	Idaho	Rhode Island
BASOALKUMOATATHD	5	Alabama	Alaska	Oklahoma	South Dakota	Utah
CAHODLLIINOFARIS	5	California	Florida	Idaho	Illinois	Ohio
HAWDRAINKSNICOAS	5	Arkansas	Hawaii	Indiana	Kansas	Wisconsin
COLFHAIOTDRNUOSA	5	Colorado	Florida	Idaho	South Carolina	Utah
LOUIAKISRHAAOMNS	5	Arkansas	Kansas	Louisiana	Ohio	Oklahoma
ALABYMADORANNTEV	5	Alabama	Maryland	Montana	Nevada	Vermont
MICHXANISEGIWTVR	5	Maine	Michigan	Texas	Virginia	West Virginia
INORDHTMIAOALKNT	5	Idaho	Indiana	Montana	North Dakota	Oklahoma
KRMAWEOIVYNTKCUG	5	Kentucky	Maine	New York	Vermont	Wyoming
ILEVLNHAIODNUSIA	5	Idaho	Illinois	Indiana	Louisiana	Nevada
WYTNSAOGLHNMKOIA	5	Montana	Ohio	Oklahoma	Washington	Wyoming
TEWSNXAMOIEOCGRG	5	Georgia	Maine	New Mexico	Oregon	Texas
CALIKNOFSRIZSAAD	5	Arizona	Arkansas	California	Florida	Kansas
WYSMVEOIANNTIDAG	5	Indiana	Minnesota	Montana	Nevada	Wyoming
GTVKSERIWONGYAII	5	Georgia	Iowa	New York	Virginia	West Virginia
MAREWYKSLANAVEDS	5	Arkansas	Delaware	Kansas	Maryland	Nevada
CNG_IOEAXMWREYOK	5	Iowa	New Mexico	New York	Oregon	Wyoming
WASHMINISONACETG	5	Maine	Minnesota	Montana	Washington	Wisconsin
GEMOVORIYINGWAIT	5	Georgia	Oregon	Vermont	Virginia	Wyoming
LOUITSSRAEAIXNNM	5	Louisiana	Maine	Minnesota	Missouri	Texas
FLVCOIAEIRDNGNIA	5	California	Florida	Indiana	Nevada	Virginia
ALKBOSAAUSNMIRIA	5	Alabama	Alaska	Kansas	Louisiana	Missouri
TEXENABENSSREAKA	5	Arkansas	Kansas	Nebraska	Tennessee	Texas
AYAELBRMEASANDWK	5	Alabama	Alaska	Delaware	Maryland	Nebraska
