BULGTSAOPRKVAINE	5	Austria 	Bulgaria	Slovakia	Slovenia	Spain
FRACILENNEDHWST_	5	Finland 	France  	Ireland 	Netherlands	Sweden
HGALUNRMITOYAPSE	5	Estonia 	Hungary 	Portugal	Romania 	Spain
SWECIEEDGRNLKMAY	5	Denmark 	Germany 	Greece  	Ireland 	Sweden
ROINBAMAELTUYGIH	5	Belgium 	Italy   	Lithuania	Malta   	Romania
SLNDUOATPRVICYAK	5	Croatia 	Cyprus  	Latvia  	Poland  	Slovakia
CROAZVTLEIASNCHM	5	Croatia 	Czechia 	Latvia  	Malta   	Slovenia
KGEEFRMCIANELNDY	5	Denmark 	Finland 	France  	Germany 	Greece
XUNDBELAMORGPUIA	5	Belgium 	Bulgaria	Ireland 	Luxembourg	Poland
POIYSTRLHUAI_GNA	5	Austria 	Hungary 	Italy   	Lithuania	Portugal
AUTOESRNZCPICYHA	5	Austria 	Cyprus  	Czechia 	Estonia 	Spain
FIANVNLDEOSRPTHE	5	Estonia 	Finland 	Netherlands	Poland  	Slovenia
MEXYBULAOGITURAV	5	Belgium 	Bulgaria	Italy   	Latvia  	Luxembourg
FRCEOANDMTIELAWS	5	Croatia 	France  	Malta   	Romania 	Sweden
