CALKRSECBOINNDMU	8	Arsenic	Bromine	Calcium	Carbon	Cesium	Neon	Nickel	Sodium
FLUTADONIRGINETS	8	Argon	Fluorine	Gold	Iodine	Iron	Nitrogen	Radon	Tungsten
ONDUBAIMCRELURYH	8	Barium	Carbon	Curium	Helium	Lead	Mercury	Radium	Uranium
NTRAIODIGLNYXEHC	8	Chlorine	Gold	Hydrogen	Iodine	Iron	Nitrogen	Radon	Xenon
CUABFNRZELIOHSUM	8	Barium	Bromine	Curium	Fluorine	Helium	Sulfur	Uranium	Zinc
NDKHAELCGONIXYRT	8	Chlorine	Gold	Iron	Lead	Neon	Nickel	Nitrogen	Oxygen
CALUENRCOSIMIDUZ	8	Arsenic	Calcium	Cesium	Curium	Iodine	Sodium	Uranium	Zinc
COBGPAROTLNITIUM	8	Argon	Barium	Boron	Carbon	Cobalt	Iron	Platinum	Titanium
KINCCELIOASUNDRM	8	Arsenic	Calcium	Cesium	Lead	Neon	Nickel	Radon	Silicon
NTRZIODIGLNYXEHC	8	Chlorine	Gold	Hydrogen	Iodine	Iron	Nitrogen	Xenon	Zinc
HVPMELNURAIOUTDS	8	Helium	Lead	Platinum	Radium	Radon	Silver	Sodium	Uranium
YGPPXEOCORNNBTIZ	8	Boron	Copper	Iron	Neon	Nitrogen	Oxygen	Xenon	Zinc
AGONRDLCUIEIMSHT	8	Argon	Cesium	Gold	Helium	Lithium	Radium	Radon	Silicon
CFLMUHOUBRINOMAE	8	Boron	Bromine	Chlorine	Chromium	Curium	Fluorine	Iron	Uranium
SIV_RELTBANIDOCZ	8	Arsenic	Carbon	Cobalt	Lead	Radon	Silicon	Silver	Zinc
NEMNUIOUMRLCBAHF	8	Aluminum	Barium	Bromine	Chlorine	Chromium	Fluorine	Iron	Neon
CESINODUGALMMRUF	8	Argon	Cesium	Gold	Magnesium	Radium	Radon	Sodium	Sulfur
HCUZELIMANORDCUM	8	Aluminum	Calcium	Chlorine	Curium	Helium	Iron	Lead	Zinc
NEOBVNRGILOASDIC	8	Argon	Boron	Carbon	Gold	Iodine	Neon	Silicon	Silver
IROSUNADMLITPMUT	8	Aluminum	Iron	Platinum	Radium	Radon	Sodium	Titanium	Uranium
BRMZAOIUCLCNTHEK	8	Barium	Bromine	Calcium	Chlorine	Cobalt	Helium	Nickel	Zinc
FLTAUURISGONYXEN	8	Argon	Fluorine	Iron	Neon	Nitrogen	Oxygen	Sulfur	Xenon
HEACKRLDUCIUMNMZ	8	Aluminum	Calcium	Curium	Helium	Lead	Nickel	Radium	Zinc
COBUPAROTLNITIUM	8	Barium	Boron	Carbon	Cobalt	Iron	Platinum	Titanium	Uranium
NRAXGOEDCNLVZIIS	8	Argon	Gold	Lead	Neon	Silicon	Silver	Xenon	Zinc
CBSEARONTLIMIHCU	8	Arsenic	Barium	Bromine	Calcium	Carbon	Chlorine	Iron	Lithium
IODZSUIAMENRRCUY	8	Cesium	Curium	Iodine	Mercury	Radium	Sodium	Uranium	Zinc
COBOIARNLTIUPCHM	8	Barium	Boron	Calcium	Carbon	Cobalt	Iron	Lithium	Platinum
IODASINRULEUMVFH	8	Helium	Iodine	Radium	Radon	Silver	Sodium	Sulfur	Uranium
HYDTXGRLEOOANNBC	8	Argon	Boron	Cobalt	Gold	Hydrogen	Neon	Oxygen	Xenon
ECHTSILIURACMBON	8	Barium	Calcium	Carbon	Cesium	Cobalt	Iron	Lithium	Silicon
RAMMGNDUAOEINESX	8	Argon	Magnesium	Manganese	Neon	Radium	Radon	Sodium	Xenon
PLTTBAOIORNUCUIM	8	Barium	Boron	Cobalt	Curium	Iron	Platinum	Titanium	Uranium
EIUMSODRNEGACANM	8	Argon	Cesium	Magnesium	Manganese	Neon	Radium	Radon	Sodium
CBSEARONHLIM_CUM	8	Arsenic	Barium	Bromine	Calcium	Carbon	Chlorine	Chromium	Iron
IOUMSDNRMIAE_ULV	8	Aluminum	Iodine	Lead	Radium	Radon	Silver	Sodium	Uranium
SULMMIUFNORCEBAH	8	Barium	Bromine	Carbon	Chromium	Curium	Fluorine	Iron	Sulfur
BOLAXGRDYEONPPNC	8	Argon	Boron	Copper	Gold	Neon	Oxygen	Radon	Xenon
BROMUAIUCNLCHEKF	8	Barium	Bromine	Calcium	Curium	Fluorine	Helium	Nickel	Uranium
ZCPIINOPUDESMARL	8	Arsenic	Copper	Iodine	Lead	Radium	Radon	Sodium	Zinc
SULMMIUFNORCEABH	8	Barium	Bromine	Chromium	Curium	Fluorine	Iron	Sulfur	Uranium
MUDSRAIOELCNVKIZ	8	Lead	Nickel	Radium	Radon	Silicon	Silver	Sodium	Zinc
ATLFDRIUYGONHXEN	8	Argon	Fluorine	Hydrogen	Iron	Neon	Nitrogen	Oxygen	Xenon
IODANISRCEUUKLFM	8	Arsenic	Cesium	Iodine	Nickel	Radium	Radon	Sodium	Sulfur
ALBMDROIYGONHXEN	8	Argon	Boron	Bromine	Gold	Hydrogen	Neon	Oxygen	Xenon
HRSDKEAINCLUOIZM	8	Arsenic	Cesium	Helium	Lead	Nickel	Radium	Silicon	Zinc
ABOMDRTIYGONHXEN	8	Argon	Boron	Bromine	Hydrogen	Neon	Nitrogen	Oxygen	Xenon
MAGLRDENOSICIMUZ	8	Arsenic	Cesium	Iodine	Lead	Magnesium	Radium	Sodium	Zinc
URBCCIAOHLUNETIM	8	Barium	Calcium	Carbon	Cobalt	Curium	Helium	Lithium	Uranium
ALTIDRONYGONHXEB	8	Argon	Boron	Gold	Hydrogen	Neon	Nitrogen	Oxygen	Xenon
