APLENPMGYANOBARC	7	Apple	Banana	Crab apple	Lemon	Mango	Orange	Papaya
GFRORELUAPMISTOT	7	Grape	Grapefruit	Lime	Pear	Plum	Pomelo	Star fruit
IAUTCVNGOAOEDCML	7	Açaí	Avocado	Coconut	Guava	Lemon	Mango	Melon
TNGEORAPCURIDIWK	7	Apricot	Currant	Durian	Grape	Kiwi	Orange	Pear
PEMHLUACOAANBNTI	7	Açaí	Banana	Cantaloupe	Melon	Peach	Plantain	Plum
TAMLVAIENRUNOGED	7	Durian	Guava	Lime	Mango	Orange	Tamarind	Tangerine
MUCGLERRBPARTNSY	7	Cranberry	Currant	Grape	Mulberry	Pear	Plum	Raspberry
PMNOROELTEHYWADC	7	Date	Honeydew	Lemon	Lychee	Melon	Pomelo	Watermelon
EBPLGRAEANINDMAT	7	Banana	Grape	Mandarine	Pear	Plantain	Tamarind	Tangerine
ACKPRBAPRELIYBMU	7	Açaí	Apple	Blackberry	Crab apple	Lime	Mulberry	Plum
RCUREDARLMNISOAT	7	Currant	Damson	Durian	Lemon	Melon	Redcurrant	Tamarind
APEBPBLUKEARHCRY	7	Apple	Blackberry	Blueberry	Cherry	Crab apple	Peach	Pear
PLRQADURNCAIETNE	7	Açaí	Currant	Date	Durian	Nectarine	Plantain	Quince
BLEGSMONAOAINDOR	7	Blood orange	Damson	Lemon	Mandarine	Mango	Melon	Orange
GRPJREAHFUCNQKIT	7	Currant	Grape	Grapefruit	Jackfruit	Peach	Pear	Quince
MAGOCNREDAIATENB	7	Açaí	Banana	Date	Mandarine	Mango	Orange	Tangerine
QYMPUIEOZLNCTUOC	7	Coconut	Lemon	Lime	Melon	Pomelo	Quince	Yuzu
BPINANAAPEYCPLEH	7	Açaí	Apple	Banana	Lychee	Papaya	Peach	Pineapple
GNOSAOBEMLBRUERY	7	Blueberry	Gooseberry	Lemon	Loganberry	Mango	Melon	Mulberry
PTTNSEAIRDURBCFR	7	Breadfruit	Currant	Date	Durian	Pear	Redcurrant	Star fruit
HCRRBEYEMLEBIUDR	6	Blueberry	Cherry	Elderberry	Lime	Lychee	Mulberry
NECOPITGRANAUDME	7	Apricot	Date	Durian	Mandarine	Mango	Nectarine	Tamarind
LOJIGPNBRAERCHRY	7	Cherry	Cranberry	Goji berry	Grape	Loganberry	Peach	Pear
NIRUPEADMANTPPLE	7	Apple	Date	Durian	Mandarine	Pear	Pineapple	Plantain
GAPEVRMLOAIOTCDN	7	Apricot	Avocado	Grape	Lemon	Lime	Melon	Tamarind
PSTDBEARRWHCYRAI	7	Açaí	Cherry	Date	Peach	Pear	Raspberry	Strawberry
PMUBAPLENREBOGRY	7	Apple	Blueberry	Grape	Mango	Mulberry	Orange	Plum
MLATOEONUPACDRIH	7	Apricot	Cantaloupe	Durian	Melon	Peach	Pear	Pomelo
GRPMTAIECNLNEAPP	7	Açaí	Apple	Grape	Lime	Nectarine	Pineapple	Plantain
SBNMPAEORERLHCYR	7	Cherry	Cranberry	Lemon	Lychee	Melon	Pear	Raspberry
DTEGOAUMVCILOAPR	7	Açaí	Apricot	Avocado	Date	Guava	Lime	Plum
POMGWAREPENLWATO	7	Grape	Melon	Pawpaw	Pear	Pomegranate	Pomelo	Watermelon
DASNYATOPEMSAPLU	7	Apple	Damson	Date	Lemon	Papaya	Plum	Satsuma
HVORACAIDENUPOGQ	7	Açaí	Avocado	Guava	Orange	Peach	Pear	Quince
KUELSMITOQARGNUD	7	Damson	Date	Durian	Kumquat	Lemon	Lime	Mango
NECTPIAO_NRPGELP	7	Apple	Apricot	Nectarine	Orange	Pear	Pineapple	Tangerine
DMONAMSPCIERHALO	7	Açaí	Damson	Lemon	Lime	Peach	Persimmon	Pomelo
PAPMERNAOGYVUZUA	7	Grape	Guava	Mango	Orange	Papaya	Pear	Yuzu
KQUTUMEAILCPONPH	7	Apple	Kumquat	Lime	Melon	Peach	Plum	Quince
LIURTEFNPAMODRGS	7	Damson	Date	Dragonfruit	Grape	Grapefruit	Lemon	Pear
GOLPNUPESAMOSTVA	7	Apple	Guava	Mango	Melon	Plum	Pomelo	Satsuma
ENIDGRANRPETYUCH	7	Cherry	Currant	Date	Grape	Nectarine	Pear	Tangerine
POMQNIUEECALAPPO	7	Açaí	Apple	Lemon	Pineapple	Plum	Pomelo	Quince
PAWERNPTGOADEMSW	7	Damson	Date	Grape	Mango	Orange	Pawpaw	Pomegranate
TAINNMRDPAURELCH	7	Currant	Durian	Peach	Pear	Plantain	Plum	Tamarind
POMEGEOLNRCNATIE	7	Clementine	Lemon	Melon	Nectarine	Orange	Pomelo	Tangerine
KIWIYABPCAPARELW	7	Açaí	Apple	Crab apple	Kiwi	Papaya	Pawpaw	Pear
PLUEOMATERANGNID	7	Date	Mandarine	Orange	Plantain	Plum	Pomegranate	Tamarind
EAWPPNIAPLOWEMIK	7	Apple	Kiwi	Lemon	Lime	Melon	Pawpaw	Pineapple
CARRHEBYPLMUOOUZ	7	Cherry	Mulberry	Peach	Pear	Plum	Pomelo	Yuzu
