LOCKCITRUSOHQACM	6	Cockroach	Locust	Mosquito	Moth	Roach	Tick
MYFYADCLNIAECGWR	6	Cicada	Earwig	Flea	Gadfly	Lacewing	Mayfly
WOEPMASQNTIUGLOC	6	Gnat	Locust	Louse	Mantis	Mosquito	Wasp
KATACEDYRITECMDG	6	Cicada	Cricket	Katydid	Midge	Termite	Tick
RAETDLGSFYOU_NBC	6	Dragonfly	Flea	Gadfly	Ladybug	Locust	Louse
OCADCKIAEROCNTHM	6	Cicada	Cockroach	Cricket	Hornet	Moth	Roach
TERFFYIMLDATYNGE	6	Firefly	Gadfly	Gnat	Mayfly	Midge	Termite
EKCCTCROHIAODPSW	6	Aphid	Cockroach	Cricket	Roach	Tick	Wasp
MIOCWDGNRAFEYLEH	6	Conehead	Dragonfly	Earwig	Flea	Gadfly	Midge
FMAYIRFEBTELUETY	6	Beetle	Butterfly	Firefly	Flea	Mayfly	Termite
SSPOWAHPRIERMGD_	5	Aphid	Earwig	Grasshopper	Midge	Wasp
FEEAVLRWYIIFHSSG	5	Earwig	Firefly	Flea	Silverfish	Weevil
DSDGMIEYCATLKNYF	6	Flea	Katydid	Mantis	Mayfly	Midge	Tick
DITEMOHCTRAPNESW	6	Aphid	Hornet	Moth	Roach	Termite	Wasp
SICKTNGUYALBMFDY	6	Gadfly	Gnat	Ladybug	Mantis	Mayfly	Tick
COCFUKLISERCTOAH	6	Cockroach	Cricket	Flea	Locust	Louse	Roach
TOCKHIMYPADLEGYF	6	Aphid	Gadfly	Mayfly	Midge	Moth	Tick
BELFENTEGIARPSWM	6	Beetle	Earwig	Flea	Gnat	Mantis	Wasp
HORCMTINOUECLSQK	6	Cricket	Hornet	Louse	Mosquito	Moth	Tick
TRMSEADILGNTYFOE	6	Dragonfly	Flea	Gnat	Mantis	Midge	Termite
MOCKLITUCDHSAWAP	6	Aphid	Cicada	Locust	Moth	Tick	Wasp
BEEFVWLTDIEAMGNC	6	Beetle	Flea	Gnat	Lacewing	Midge	Weevil
LMDAROANUCTCESIH	6	Cicada	Locust	Louse	Mantis	Moth	Roach
GNTLMIAEWRCKCET_	6	Cricket	Earwig	Gnat	Lacewing	Termite	Tick
GPWUHASOIDELFRFY	6	Aphid	Firefly	Flea	Gadfly	Louse	Wasp
BEEGKTINLCAREHOC	6	Beetle	Cricket	Gnat	Hornet	Roach	Tick
YCUQLOSIFETOYAMH	6	Flea	Locust	Louse	Mayfly	Mosquito	Moth
ROHWENACGTSM_DIP	6	Gnat	Hornet	Mantis	Midge	Roach	Wasp
BUCKMOSIBLTEEBEH	6	Beetle	Bumblebee	Locust	Louse	Moth	Tick
NOGPFRAHLDICYEAC	6	Aphid	Cicada	Dragonfly	Flea	Gadfly	Roach
GNAHEDTMEVIOWSUL	6	Gnat	Louse	Mantis	Midge	Moth	Weevil
MOYCFARFCIELHKTY	6	Cricket	Firefly	Flea	Mayfly	Roach	Tick
DYDEMITGORNAHTEK	6	Gnat	Hornet	Katydid	Midge	Moth	Termite
FDYBALAUCIEGRTCK	6	Cicada	Cricket	Flea	Gadfly	Ladybug	Tick
HOISMTRFANELGYFY	6	Firefly	Gnat	Hornet	Mantis	Mayfly	Moth
RASPWETUEICOGVLK	6	Earwig	Locust	Louse	Tick	Wasp	Weevil
FLTHEEAOENRMBTIS	6	Beetle	Flea	Hornet	Mantis	Moth	Termite
GNOKEDACAHITPECM	6	Aphid	Cicada	Conehead	Gnat	Midge	Tick
FLECTWAHIEROGNEB	6	Beetle	Earwig	Flea	Hornet	Lacewing	Roach
ESULTICONRMKCAET	6	Cricket	Locust	Louse	Mantis	Termite	Tick
_FLYDENMRAGOFITH	6	Dragonfly	Firefly	Flea	Gadfly	Gnat	Moth
KCYDATICEDAHNROP	6	Aphid	Cicada	Hornet	Katydid	Roach	Tick
BEEGSTNIULAWOCER	6	Beetle	Earwig	Gnat	Lacewing	Locust	Louse
GMYFCADLOHEYRNET	6	Conehead	Flea	Gadfly	Hornet	Mayfly	Roach
KSPDWAIHMNTDGOY_	6	Aphid	Gnat	Katydid	Mantis	Moth	Wasp
BEADHETENOLSRCUF	6	Beetle	Conehead	Flea	Hornet	Locust	Louse
GNFLOADYRITACDCK	6	Cicada	Dragonfly	Gadfly	Gnat	Katydid	Tick
HARGCOLNUEEISTWV	6	Hornet	Lacewing	Locust	Louse	Roach	Weevil
MONECATHRIDESCKA	6	Cicada	Conehead	Cricket	Mantis	Moth	Tick
MIDUKDGBFAYEELTE	6	Beetle	Flea	Gadfly	Katydid	Ladybug	Midge
