WOLFMBAKEDRTZEGI	8	Badger	Boar	Deer	Meerkat	Tiger	Wolf	Wombat	Zebra
GPHWEOATMLRNESUD	8	Elephant	Goat	Horse	Leopard	Mole	Walrus	Warthog	Whale
DINGMLOYMETORACT	8	Camel	Coyote	Dingo	Lemming	Lion	Ocelot	Otter	Racoon
WKVMHAREOTEHIGCB	8	Bear	Beaver	Cheetah	Goat	Hare	Meerkat	Tiger	Warthog
WAMCDORAGILFNLFE	8	Armadillo	Dingo	Giraffe	Gorilla	Llama	Mole	Orca	Wolf
MADHLONYIAKEPRTE	8	Hyena	Koala	Lion	Manatee	Monkey	Okapi	Panda	Tapir
HWTTFAOEFLRGERLI	8	Ferret	Giraffe	Goat	Gorilla	Hare	Otter	Whale	Wolf
CHIDTMPRUOLASSEA	8	Chimp	Impala	Leopard	Mole	Mouse	Possum	Seal	Sloth
_GHIBONDBAOUECRG	8	Baboon	Bear	Boar	Dingo	Dugong	Groundhog	Orca	Racoon
SLAJPLKCIAOHWRTG	8	Goat	Gorilla	Jackal	Koala	Okapi	Sloth	Tapir	Warthog
WALRCEMUEPSOIHPS	8	Camel	Hippo	Lemur	Mouse	Possum	Seal	Sheep	Walrus
KOAAUBRLYIACMPHT	8	Boar	Capybara	Caribou	Chimp	Impala	Koala	Orca	Tapir
JKGRCAAUZEMLBSLE	8	Bear	Camel	Gazelle	Jackal	Jaguar	Lemur	Llama	Seal
ZERCOOBAANGBKTID	8	Baboon	Dingo	Gibbon	Goat	Kangaroo	Orca	Rabbit	Zebra
GORWNIHULAMCLEMP	8	Chimp	Gorilla	Human	Lemming	Lemur	Lion	Rhino	Whale
LEBTPOAVHPREOISD	8	Bear	Beaver	Boar	Hippo	Horse	Leopard	Porpoise	Tapir
KOYPCAEOHELTWSAH	8	Cheetah	Coyote	Koala	Ocelot	Seal	Sheep	Sloth	Whale
GOAHMTNYTAEKVERB	8	Anteater	Bear	Beaver	Goat	Hyena	Manatee	Monkey	Otter
