TANSUIPAVGEKFROC	6	Frog	Gecko	Iguana	Snake	Taipan	Viper
KMOOOEDDWNRAITOG	5	Adder	Komodo dragon	Monitor	Newt	Toad
CATYSHIPONAMELEK	6	Anole	Caiman	Chameleon	Python	Snake	Taipan
FROUWTAGENICOMAP	6	Caiman	Frog	Iguana	Monitor	Newt	Taipan
VIPYZELTRAOHDBNC	6	Anole	Cobra	Lizard	Python	Toad	Viper
KRAPSNIHEKAGWTLU	6	Gharial	Iguana	Newt	Skink	Snake	Taipan
GEBRCOLAKANBIMAM	5	Anole	Black mamba	Caiman	Cobra	Gecko
ECONGKADUINAMAKS	6	Anaconda	Caiman	Gecko	Iguana	Skink	Snake
LZTOPIARANMDACON	6	Anaconda	Caiman	Lizard	Monitor	Taipan	Toad
TURLWOLTXENOKASI	6	Anole	Axolotl	Newt	Snake	Tortoise	Turtle
NAPELIRDVZADGHTO	6	Adder	Gharial	Lizard	Taipan	Toad	Viper
FROTLTUGEOIAMSNA	6	Anole	Frog	Iguana	Monitor	Tortoise	Turtle
VPKRYIESTWNKHOAD	6	Newt	Python	Skink	Snake	Toad	Viper
LIZDGEDACORCKOBF	6	Adder	Cobra	Crocodile	Frog	Gecko	Lizard
IGUDLRATTLONOEAX	6	Alligator	Anole	Axolotl	Iguana	Toad	Turtle
MONKTAISRTKEBOCG	6	Cobra	Gecko	Monitor	Skink	Snake	Tortoise
ALLEZIDTGARUHOTF	6	Alligator	Frog	Gharial	Lizard	Toad	Turtle
SAKRNLEDAMODICAN	6	Adder	Anaconda	Anole	Caiman	Salamander	Snake
NEWFAPRTLIAOVLGH	6	Alligator	Frog	Gharial	Newt	Taipan	Viper
TNCXLOAOBRLDCEDI	6	Adder	Anole	Axolotl	Cobra	Crocodile	Toad
