KOCIRALCBROEBAGT	6	Broccoli	Cabbage	Carrot	Garlic	Kale	Okra
LSPLHETIECNTBAUR	6	Bean	Chestnut	Lentil	Lettuce	Spinach	Turnip
MSQOPUTHORASKTDI	6	Mustard	Okra	Potato	Radish	Sprout	Squash
GGEUPARTCLNSHIIP	6	Chili	Eggplant	Garlic	Parsnip	Spinach	Turnip
PERNBKAROCOTCHIY	6	Artichoke	Bean	Bokchoy	Carrot	Chickpea	Okra
FSHCCEIANLRDNEIY	6	Celeriac	Celery	Chard	Chili	Fennel	Radish
ETTULECOKAWRMSRN	6	Carrot	Kale	Leek	Lettuce	Marrow	Sweetcorn
YOIICHLVCRAEKOBN	6	Bean	Bokchoy	Broccoli	Chili	Chive	Okra
CHRDSANRPILONOLT	6	Carrot	Chard	Onion	Scallion	Shallot	Spinach
ZUCHINICNLEKFEAP	6	Chickpea	Chili	Fennel	Kale	Leek	Zucchini
CVEWIHOKSTARUMRD	6	Artichoke	Chard	Chive	Marrow	Mustard	Okra
CHNTSAIOEPLLBGGI	6	Bean	Chili	Eggplant	Scallion	Shallot	Spinach
COYDHARTOCIEBKEL	6	Artichoke	Bokchoy	Celeriac	Celery	Chard	Leek
ONSHIKRAPOUPNTQS	6	Okra	Onion	Parsnip	Sprout	Squash	Turnip
MOTGKAPGTLEJONAB	6	Bean	Eggplant	Jalapeno	Kale	Potato	Tomato
LEPPPKEAOCRVCHIT	6	Artichoke	Chickpea	Chive	Leek	Okra	Pepper
FENYCLRNAIEACBBG	6	Bean	Cabbage	Celeriac	Celery	Fennel	Garlic
JONPKAETRELPGGPA	6	Eggplant	Jalapeno	Kale	Leek	Okra	Pepper
CHILKCINUPAVZSEB	6	Bean	Chickpea	Chili	Chive	Spinach	Zucchini
LEKOGAERUMBACUCB	6	Cabbage	Cucumber	Kale	Leek	Legume	Okra
CHIVSALEULINSQOT	6	Chili	Chive	Lentil	Scallion	Shallot	Squash
OKSGTRNEUATIMOPP	6	Mangetout	Okra	Parsnip	Potato	Tomato	Turnip
LBUTAETCKNEITURL	6	Bean	Butternut	Kale	Leek	Lentil	Lettuce
DQOTSRUCPNAHITSE	6	Chard	Chestnut	Spinach	Sprout	Squash	Turnip
FENGCLENUTAKOTOM	6	Fennel	Kale	Leek	Lettuce	Mangetout	Tomato
UTRCORASNLPTLION	6	Carrot	Onion	Potato	Scallion	Sprout	Turnip
FGGUPENMLNEIAKTL	6	Eggplant	Fennel	Kale	Leek	Legume	Lentil
MUTGQSADSHIREVCL	6	Chard	Chive	Garlic	Mustard	Radish	Squash
YRIKBEANMELCGUCU	6	Bean	Celeriac	Celery	Cucumber	Kale	Legume
GBOKARCIDHLCSIOY	6	Bokchoy	Broccoli	Chard	Chili	Garlic	Radish
LEILGNTOUOANTMEB	6	Bean	Legume	Lentil	Mangetout	Onion	Tomato
CEEWKRLOYAIFGCUL	6	Cauliflower	Celeriac	Celery	Garlic	Kale	Leek
EVILCHNICUETZLTS	6	Chestnut	Chili	Chive	Lentil	Lettuce	Zucchini
SWEEPKOTIRUCNRAM	6	Carrot	Marrow	Okra	Sprout	Sweetcorn	Turnip
CEGUDALMCIREHSVY	6	Celeriac	Celery	Chive	Garlic	Legume	Radish
KENBFAENLLPOJAFA	6	Alfalfa	Bean	Fennel	Jalapeno	Kale	Leek
ZCCPTUAHORNIRSPI	6	Carrot	Parsnip	Spinach	Sprout	Turnip	Zucchini
CHVYAIRECELPPKPI	6	Celeriac	Celery	Chickpea	Chili	Chive	Pepper
URINTNPOOATSMCHE	6	Chestnut	Onion	Potato	Spinach	Tomato	Turnip
CHRDMASRULTOQSLW	6	Carrot	Chard	Marrow	Mustard	Shallot	Squash
PONEMTILHALOCSTN	6	Lentil	Onion	Potato	Scallion	Shallot	Tomato
SSEIMRCLWAREGOTY	5	Carrot	Celery	Garlic	Marrow	Watercress
CHNAGASIURDPQSAP	6	Asparagus	Chard	Parsnip	Radish	Spinach	Squash
WSUOPOTMRTANDREG	6	Mangetout	Marrow	Mustard	Potato	Sprout	Tomato
MNOLUTILTSADEHCR	6	Chard	Chestnut	Mustard	Radish	Scallion	Shallot
NCTPPOATIROMSNRW	6	Carrot	Marrow	Onion	Parsnip	Potato	Tomato
PEPPCKLESIARCHDG	6	Chard	Chickpea	Garlic	Kale	Pepper	Radish
SNIYWPROLECUKETT	6	Celery	Leek	Lettuce	Sprout	Sweetcorn	Turnip
BEAGTRKNLIOCNOCH	6	Artichoke	Bean	Broccoli	Garlic	Okra	Onion
LPEKPESPINRALTUO	6	Leek	Lentil	Parsnip	Pepper	Sprout	Turnip
