COTLCUTEUERGBMAN	5	Bean    	Courgette	Cucumber	Lettuce 	Mangetout
MUIWQSADSHTRERCE	5	Chard   	Mustard 	Radish  	Squash  	Watercress
CHIVOTCERKEWNAPS	5	Artichoke	Chickpea	Chive   	Okra    	Sweetcorn
YOLICHIRCORAWKBM	5	Bokchoy 	Broccoli	Chili   	Marrow  	Okra
CBBJKAPANELGOTEG	5	Cabbage 	Eggplant	Jalapeno	Kale    	Leek
BCHTAUTEUNRSTOIP	5	Butternut	Chestnut	Spinach 	Sprout  	Turnip
GNPCSAIECRLP_YEP	5	Celeriac	Celery  	Garlic  	Parsnip 	Pepper
AFSCILAHTOLANEFK	5	Alfalfa 	Kale    	Lentil  	Scallion	Shallot
LEROGUNLMNTIFEOP	5	Fennel  	Legume  	Lentil  	Onion   	Turnip
VEWDCIROHALFGULI	5	Cauliflower	Chard   	Chili   	Chive   	Garlic
SQAHTUGSOAOPMTRA	5	Asparagus	Potato  	Sprout  	Squash  	Tomato
BLWSLEACEIRNTCOY	5	Bean    	Celeriac	Celery  	Scallion	Sweetcorn
PHCPLASILRNOTORN	5	Carrot  	Onion   	Parsnip 	Shallot 	Spinach
PRNGODAEITTMHSUO	5	Mangetout	Mustard 	Potato  	Radish  	Tomato
LGROTEUCPTEM_PPK	5	Courgette	Leek    	Legume  	Lettuce 	Pepper
MRRWTATOEOCIPKHC	5	Artichoke	Carrot  	Chickpea	Marrow  	Potato
BAGEBALIORCOKCHY	5	Bokchoy 	Broccoli	Cabbage 	Garlic  	Okra
ATNALNEFPFELGGAK	5	Alfalfa 	Eggplant	Fennel  	Kale    	Leek
